"WO No.","Part Name","Part Drg No.","Req. Qty","Type","BOM Upload Dt","Design Eng","Approved By","Dwg Rls Dt"
"AL-1444-01","11-07-00-EXIT CHUTE","AL1444.01-11-07-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","07-11-00-INDEXER MTG BASE","AL1444.01-07-11-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","03-03-00-PRESSING SHAFT","AL1444.01-03-03-00","1","","27-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","10-25-00-TOP SLIDE LM BLOCK MTG PLT","AL1444.01-10-25-00","1","","04-03-2022","Sunil","PPRAJ","2022-03-04"
"AL-1444-01","08-020-00-CYL STOPER","AL1444.01-08-020-00","1","","18-06-2022","Sunil","PPRAJ","2022-06-18"
"AL-1444-01","08-13-00-COM HLDR LOCKING SPACER","AL1444.01-08-13-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","05-06-00-JOB LOADER CYLINDER CONNECTOR","AL1444.01-05-06-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","06-046-00-STOPER BRKT","AL1444.01-06-046-00","2","","04-06-2022","Sunil","PPRAJ","2022-06-04"
"AL-1444-01","10-02-00-BOTTOM LM BLOCK SLIDE BRACKET","AL1444.01-10-02-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","05-21-00-BEARING HOUSING","AL1444.01-05-21-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","11-06-00-PIN","AL1444.01-11-06-00","3","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","06-13-00- BEARING RETAINER PLATE","AL1444.01-06-13-00","3","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","03-09-00-STOPPER PAD","AL1444.01-03-09-00","2","","27-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","03-13-00-POTENTIOMETER COUPLER","AL1444.01-03-13-00","2","","04-03-2022","Sunil","PPRAJ","2022-03-04"
"AL-1444-01","10-38-00-GRIPPER BOTTOM","AL1444.01-10-38-00","2","","18-06-2022","Sunil","PPRAJ","2022-06-18"
"AL-1444-01","08-02-00-COM LOCATOR","AL1444.01-08-02-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","05-01-00-GUIDED COMPONENT HOLDER","AL1444.01-05-01-00","1","","27-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","06-048-00-LOCATOR","AL1444.01-06-048-00","2","","04-06-2022","Sunil","PPRAJ","2022-06-04"
"AL-1444-01","03-240-00-STACK LOCATING PIN-1","AL-1444-01-03-240-00","4","","31-08-2021","Pavithra","Chandru","2021-08-31"
"AL-1444-01","10-20-00-WASHER","AL1444.01-10-20-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","06-08-00-CYLINDER CONTR BKT.","AL1444.01-06-08-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","02-04-00-CYLINDER COUPLER","AL1444.01-02-04-00","1","","27-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","03-260-00-STACK LOCATING PIN-3","AL-1444-01-03-260-00","4","","26-10-2021","Pavithra","Chandru","2021-10-26"
"AL-1444-01","03-12-00-POTENTIOMETER STOPER PLATE","AL1444.01-03-12-00","1","","04-03-2022","Sunil","PPRAJ","2022-03-04"
"AL-1444-01","06-20-00-STOPPER","AL1444.01-06-20-00","4","","03-03-2022","Sunil","PPRAJ","2022-03-03"
"AL-1444-01","07-13-00-INDEXER SLIDING PIN","AL1444.01-07-13-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","04-08-00-STIFFER TOP PLATE","AL1444.01-04-08-00","1","","27-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","03-210-00-EI HOLDING BLK","AL-1444-01-03-210-00","1","","31-08-2021","Pavithra","Chandru","2021-08-31"
"AL-1444-01","07-110-00-COMP HOLDER","AL1444.01-07-110-00","1","","24-01-2022","Sunil","PPRAJ","2022-01-24"
"AL-1444-01","10-24-00-MTG BLOCK RH","AL1444.01-10-24-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","05-22-00-MOTOR MTNG PLT","AL1444.01-05-22-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","10-21-00-CYLINER MTG PLATE","AL1444.01-10-21-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","06-05-00-COM PRESSING BLK","AL1444.01-06-05-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","02-01-00-TOP SUPPORT WASHER","AL1444.01-02-01-00","2","","27-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","02-300-00-STOPPER FOR STIFFNER-2","AL-1444-01-02-300-00","2","","26-10-2021","Pavithra","Chandru","2021-10-26"
"AL-1444-01","01-062-00-BASE FRONT COVER","AL1444.01-01-062-00","3","","03-12-2021","Sunil","PPRAJ","2021-12-03"
"AL-1444-01","07-07-00-DEFORMER MTG BKT","AL1444.01-07-07-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","04-04-00-DIA 30 GUIDE ROD","AL1444.01-04-04-00","2","","27-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","02-260-00-SHAFT PRESS TOOL-1","AL-1444-01-02-260-00","1","","31-08-2021","Pavithra","Chandru","2021-08-31"
"AL-1444-01","01-A01-00-BASE FRAME ASSY","AL1444.01-01-A01-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-30"
"AL-1444-01","09-01-00-CYL CONNTR","AL1444.01-09-01-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","05-15-00-BEARING HOUSING","AL1444.01-05-15-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","03-241-00-STACK LOCATING PIN-1","AL1444.01-03-241-00","4","","03-06-2022","Nitish","PPRAJ","2022-06-03"
"AL-1444-01","04-02-00-COUPLER BLOCK","AL1444.01-04-02-00","1","","05-03-2022","Sunil","PPRAJ","2022-03-05"
"AL-1444-01","10-11-00-GRIPPER MTG PIN","AL1444.01-10-11-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","06-02-00-COM HOLDER HINGE PIN","AL1444.01-06-02-00","6","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","01-170-00-PNEUMATIC PLATE","AL1444.01-01-170-00","1","","03-12-2021","Sunil","PPRAJ","2021-12-03"
"AL-1444-01","11-03-00-CHUTE HINGE PIN BLK.","AL1444.01-11-03-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","07-05-00-TOP PLATE","AL1444.01-07-05-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","03-07-00-WASHER","AL1444.01-03-07-00","4","","27-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","10-29-00-GRIPPER PAD","AL1444.01-10-29-00","4","","04-03-2022","Sunil","PPRAJ","2022-03-04"
"AL-1444-01","01-05-00-SUPORT BKT","AL1444.01-01-05-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-30"
"AL-1444-01","08-03-00-COM HOLDER","AL1444.01-08-03-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","05-11-00-GUIDE ROD","AL1444.01-05-11-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","02-261-00-SHAFT PRESS TOOL-1","AL1444.01-02-261-00","1","","11-06-2022","Sunil","PPRAJ","2022-06-11"
"AL-1444-01","08-19-00-PAN CAKE LOAD CELL","AL1444.01-08-19-00","1","","03-06-2022","Nitish","PPRAJ","2022-06-03"
"AL-1444-01","10-18-00-GRIPPER MTG BKT","AL1444.01-10-18-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","06-17-00-BEARING SPACER","AL1444.01-06-17-00","3","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","11-08-00-HINGE CHUTE MTTG BLK","AL1444.01-11-08-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","07-02-00-SPRING FOR BALLS","AL1444.01-07-02-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","03-04-00-SHAFT MTG PLATE","AL1444.01-03-04-00","1","","27-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","10-26-00-ROTORY UNIT SIDE PLATE","AL1444.01-10-26-00","1","","04-03-2022","Sunil","PPRAJ","2022-03-04"
"AL-1444-01","08-14-00-COM HLDR LOCKING SPACER LH","AL1444.01-08-14-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","05-07-00-JOB LOADING CLAW","AL1444.01-05-07-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","08-022-00-COMMUTATOR STOPER","AL1444.01-08-022-00","1","","04-06-2022","Sunil","PPRAJ","2022-06-04"
"AL-1444-01","10-03-00-TOP SLIDE LM BLOCK MTG PLT","AL1444.01-10-03-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","06-14-00- BEARING RETAINER PLATE","AL1444.01-06-14-00","3","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","11-09-00-HINGE CHUTE MTTG BLK","AL1444.01-11-09-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","07-01-00-COMPONENT HOLDER","AL1444.01-07-01-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","03-01-00-TOOL HOLDER PLATE","AL1444.01-03-01-00","1","","27-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","05-14-00-LOCKING PIN","AL1444.01-05-14-00","1","","04-03-2022","Sunil","PPRAJ","2022-03-04"
"AL-1444-01","10-034-00-LH GRIPPER","AL1444.01-10-034-00","1","","18-06-2022","Sunil","PPRAJ","2022-06-18"
"AL-1444-01","08-05-00-COM HOLDER","AL1444.01-08-05-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","05-03-00-FEEDER SUPORT BKT","AL1444.01-05-03-00","1","","27-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","06-053-00 SHAFT STOPER","AL1444.01-06-053-00","1","","04-06-2022","Sunil","PPRAJ","2022-06-04"
"AL-1444-01","10-04-00-GRIPPER PLATE","AL1444.01-10-04-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","05-18-00-SHAFT SPCR","AL1444.01-05-18-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","10-22-00-CYLINER CONNECTING BRKT","AL1444.01-10-22-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","06-09-00-EP CYL MTG PLT","AL1444.01-06-09-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","02-05-00-COUPLER BLOCK","AL1444.01-02-05-00","1","","27-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","02-07-00-SEN BRKT-BOTTOM","AL1444.01-02-07-00","1","","04-03-2022","Sunil","PPRAJ","2022-03-04"
"AL-1444-01","10-036-00-CYL SPACER","AL1444.01-10-036-00","1","","18-06-2022","Sunil","PPRAJ","2022-06-18"
"AL-1444-01","08-06-00-COM SWING SUPPORT-LH","AL1444.01-08-06-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","05-04-00-DIA16 GUIDE ROD","AL1444.01-05-04-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","03-220-00-COMMUTATOR HOLDER","AL-1444-01-03-220-00","1","","31-08-2021","Pavithra","Chandru","2021-08-31"
"AL-1444-01","07-120-00-ROTARY CYLINER MTG PLATE","AL1444.01-07-120-00","1","","24-01-2022","Sunil","PPRAJ","2022-01-24"
"AL-1444-01","10-16-00-ROTORY UNIT SIDE PLATE","AL1444.01-10-16-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","06-06-00-COM SWING SUPPORT","AL1444.01-06-06-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","02-02-00-GUIDE ROD","AL1444.01-02-02-00","2","","27-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","02-310-00-STOPPER FOR STIFFNER-3","AL-1444-01-02-310-00","2","","26-10-2021","Pavithra","Chandru","2021-10-26"
"AL-1444-01","03-10-00-POTENTIOMETER STOPER PLATE","AL1444.01-03-10-00","1","","04-03-2022","Sunil","PPRAJ","2022-03-04"
"AL-1444-01","01-063-00-WELDING BUSH FOR BASE COVERS","AL1444.01-01-063-00","21","","03-12-2021","Sunil","PPRAJ","2021-12-03"
"AL-1444-01","07-08-00-INDEXER JAW","AL1444.01-07-08-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","04-05-00-STIFFER PLATE","AL1444.01-04-05-00","1","","27-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","02-290-00-STOPPER FOR STIFFNER-1","AL-1444-01-02-290-00","2","","31-08-2021","Pavithra","Chandru","2021-08-31"
"AL-1444-01","05-24-00-30X30 SQUARE TUBE","AL1444.01-05-24-00","1","","01-12-2021","Sunil","PPRAJ","2021-12-01"
"AL-1444-01","09-02-00-DIA16 GUIDE ROD","AL1444.01-09-02-00","4","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","05-16-00-BEARING RETAINER","AL1444.01-05-16-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","03-201-00-COMP HOLDING BLK","AL1444.01-03-201-00","1","","03-06-2022","Nitish","PPRAJ","2022-06-03"
"AL-1444-01","05-25-00-JOB LOCATOR BASE","AL1444.01-05-25-00","1","","05-03-2022","Sunil","PPRAJ","2022-03-05"
"AL-1444-01","10-12-00-LM BLOCK SLIDE","AL1444.01-10-12-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","06-03-00-COM HOLDER","AL1444.01-06-03-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","02-270-00-SHAFT PRESS TOOL-2","AL-1444-01-02-270-00","1","","26-10-2021","Pavithra","Chandru","2021-10-26"
"AL-1444-01","01-057-00-BASE FRONT DOOR","AL1444.01-01-057-00","1","","03-12-2021","Sunil","PPRAJ","2021-12-03"
"AL-1444-01","11-04-00-CHUTE HINGE CYL MTG BLK","AL1444.01-11-04-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","07-06-00-IXR CYL CONNTR","AL1444.01-07-06-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","04-01-00-CYLINDER COUPLER BOTTOM","AL1444.01-04-01-00","1","","27-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","01-06-00-SUPORT BKT","AL1444.01-01-06-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-30"
"AL-1444-01","09-04-00-EP CRADLE","AL1444.01-09-04-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","05-12-00-COMP FEEDER LEVER","AL1444.01-05-12-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","02-231-00-TOP EI HOLDER","AL1444.01-02-231-00","1","","03-06-2022","Nitish","PPRAJ","2022-06-03"
"AL-1444-01","10-08-00-CYLINER MTG PLATE","AL1444.01-10-08-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","06-18-00-COM HLDR  LOCKING SPACER","AL1444.01-06-18-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","11-01-00-EXIT CHUTE","AL1444.01-11-01-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","07-03-00-PAWL HOLDER","AL1444.01-07-03-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","03-05-00-GUIDE ROD","AL1444.01-03-05-00","4","","27-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","10-27-00-ROTORY UNIT PLT","AL1444.01-10-27-00","1","","04-03-2022","Sunil","PPRAJ","2022-03-04"
"AL-1444-01","01-03-00-STOPPER MTG PLATE","AL1444.01-01-03-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-30"
"AL-1444-01","03-06-R1-BUTTON","AL1444.01-03-06-R1","1","","20-06-2022","Sunil","PPRAJ","2022-06-20"
"AL-1444-01","08-16-00-LOAD CELL MTNG PLT","AL1444.01-08-16-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","05-09-00-COMP FEEDER LEVER","AL1444.01-05-09-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","08-045-00-BRKT","AL1444.01-08-045-00","2","","04-06-2022","Sunil","PPRAJ","2022-06-04"
"AL-1444-01","01-190-00-CRADLE MTNG PLT","AL1444.01-01-190-00","1","","03-06-2022","Nitish","PPRAJ","2022-06-03"
"AL-1444-01","10-07-00-ROTORY UNIT PLT","AL1444.01-10-07-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","06-15-00-COM PRESS SLIDE RAIL MTG BASE","AL1444.01-06-15-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","11-12-00-PIN","AL1444.01-11-12-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","07-10-00-INDEXER COVER PLT","AL1444.01-07-10-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","03-02-00-GUIDE BUSH HOLDER","AL1444.01-03-02-00","2","","27-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","08-17-00-COM HLDR LOCKING SPACER","AL1444.01-08-17-00","4","","04-03-2022","Sunil","PPRAJ","2022-03-04"
"AL-1444-01","10-035-00-RH GRIPPER","AL1444.01-10-035-00","1","","18-06-2022","Sunil","PPRAJ","2022-06-18"
"AL-1444-01","08-12-00-COM PRESS CYL MTG BKT","AL1444.01-08-12-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","05-08-00-JOB LOCATOR BASE","AL1444.01-05-08-00","1","","27-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","06-045-00-BRKT","AL1444.01-06-045-00","1","","04-06-2022","Sunil","PPRAJ","2022-06-04"
"AL-1444-01","10-05-00-GRIPPER PAD","AL1444.01-10-05-00","4","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","05-20-00- BRG HSG SPACER","AL1444.01-05-20-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","11-05-00-CHUTE HINGE PIN BLK SLDPRT","AL1444.01-11-05-00","3","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","06-12-00-BEARING MTG PLATE","AL1444.01-06-12-00","3","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","02-06-00-ROD HOUSING BOTTOM","AL1444.01-02-06-00","2","","27-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","02-08-00-SEN BRKT","AL1444.01-02-08-00","1","","04-03-2022","Sunil","PPRAJ","2022-03-04"
"AL-1444-01","10-037-00-SECONDRR CYL CNTR","AL1444.01-10-037-00","1","","18-06-2022","Sunil","PPRAJ","2022-06-18"
"AL-1444-01","08-09-00-EP CYL MTG PLT","AL1444.01-08-09-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","05-05-00-JOB LOADER CYL MTG PLT","AL1444.01-05-05-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","06-047-00-HINCH BLOCK","AL1444.01-06-047-00","3","","04-06-2022","Sunil","PPRAJ","2022-06-04"
"AL-1444-01","03-230-00-COM STOPPER PAD","AL-1444-01-03-230-00","2","","31-08-2021","Pavithra","Chandru","2021-08-31"
"AL-1444-01","07-130-00-ROTARY PLATE","AL1444.01-07-130-00","1","","24-01-2022","Sunil","PPRAJ","2022-01-24"
"AL-1444-01","10-19-00-CYLINER MTG PLATE","AL1444.01-10-19-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","06-07-00-CYL CPLR","AL1444.01-06-07-00","4","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","02-03-00-CYLINDER HOLDER PLATE","AL1444.01-02-03-00","1","","27-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","03-250-00-STACK LOCATING PIN-2","AL-1444-01-03-250-00","4","","26-10-2021","Pavithra","Chandru","2021-10-26"
"AL-1444-01","03-11-00-POTENTIOMETER MTG PLT","AL1444.01-03-11-00","2","","04-03-2022","Sunil","PPRAJ","2022-03-04"
"AL-1444-01","06-19-00-STPR MTNG PLT","AL1444.01-06-19-00","4","","03-03-2022","Sunil","PPRAJ","2022-03-03"
"AL-1444-01","07-09-00-DEFORMER INSERTION","AL1444.01-07-09-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","04-06-00-STOPPER FOR STIFFNER","AL1444.01-04-06-00","2","","27-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","03-200-00-COMP HOLDING BLK - Copy","AL-1444-01-03-200-00","1","","31-08-2021","Pavithra","Chandru","2021-08-31"
"AL-1444-01","07-100-00-COUPLER HOLDING PLATE","AL1444.01-07-100-00","1","","24-01-2022","Sunil","PPRAJ","2022-01-24"
"AL-1444-01","09-03-00-EP CRADLE  CYL MTG PLT","AL1444.01-09-03-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","05-17-00-BEARING SPACER","AL1444.01-05-17-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","03-211-00-EI HOLDING BLK","AL1444.01-03-211-00","1","","03-06-2022","Nitish","PPRAJ","2022-06-03"
"AL-1444-01","11-12-R1-PIN","AL1444.01-11-12-R1","1","","05-03-2022","Sunil","PPRAJ","2022-03-05"
"AL-1444-01","10-10-00-MTG BLOCK","AL1444.01-10-10-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","06-04-00-COM PRESS SLIDE RAIL MTG BASE","AL1444.01-06-04-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","02-280-00-SHAFT PRESS TOOL-3","AL-1444-01-02-280-00","1","","26-10-2021","Pavithra","Chandru","2021-10-26"
"AL-1444-01","01-180-00- TRANSFORMER MOUNTING PLATE","AL1444.01-01-180-00","2","","14-02-2022","Sunil","PPRAJ","2022-02-14"
"AL-1444-01","01-061-00-BASE SIDE COVER RH","AL1444.01-01-061-00","1","","03-12-2021","Sunil","PPRAJ","2021-12-03"
"AL-1444-01","07-12-00-HINGE PIN","AL1444.01-07-12-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","04-03-00-WASHER","AL1444.01-04-03-00","4","","27-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","02-230-00-TOP EI HOLDER","AL-1444-01-02-230-00","1","","31-08-2021","Pavithra","Chandru","2021-08-31"
"AL-1444-01","01-113-00-ELECTRICAL CABINET MTG PLT","AL1444.01-01-113-00","2","","30-11-2021","Sunil","PPRAJ","2021-11-30"
"AL-1444-01","09-05-00-EP LOADING CLAW","AL1444..01-09-05-00","2","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","05-13-00-FEEDER MOTOR MTG PLT","AL1444.01-05-13-00","1","","28-11-2021","Sunil","PPRAJ","2021-11-29"
"AL-1444-01","02-260-00-SHAFT PRESS TOOL-1","AL1444.01-02-260-00","1","","03-06-2022","Nitish","PPRAJ","2022-06-03"
"AL-1474-01","03-190-00-DIA 40 STACK LOCATING PIN","AL-1474-01-03-190-00","2","","30-10-2021","Pavithra","Chandru","2021-10-30"
"AL-1474-01","02-010-00-GUIDE ROD","AL-1474-01-02-010-00","2","","13-10-2021","Pavithra","Chandru","2021-10-13"
"AL-1474-01","03-350-00-STOPPER PAD-BLUE LEAF BEARING","AL-1474-01-03-350-00","2","","30-10-2021","Pavithra","Chandru","2021-10-30"
"AL-1474-01","02-180-00-LOCKNUT SPACER","AL-1474-01-02-180-00","1","","13-10-2021","Pavithra","Chandru","2021-10-13"
"AL-1474-01","03-120-00-L-FRAME","AL-1474-01-03-120-00","1","","13-10-2021","Pavithra","Chandru","2021-10-13"
"AL-1474-01","03-320-00-STOPPER PAD-M-PERFECT,GX-10","AL-1474-01-03-320-00","2","","30-10-2021","Pavithra","Chandru","2021-10-30"
"AL-1474-01","02-150-00-BEARING SPACER","AL-1474-01-02-150-00","1","","13-10-2021","Pavithra","Chandru","2021-10-13"
"AL-1474-01","03-090-00-COUPLER BLOCK","AL-1474-01-03-090-00","1","","13-10-2021","Pavithra","Chandru","2021-10-13"
"AL-1474-01","02-140-00-SHAFT PRESS TOOL","AL-1474-01-02-140-00","1","","20-10-2021","Pavithra","Chandru","2021-10-20"
